"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"SwagLabs Features","Core Business Req","Verify Sorting","0","0","1","0","0"
"Account Transactions","Account Transactions","Verify Deposit Transaction Logging","1","0","0","0","0"
"Login Parameterized","","","0","0","3","0","0"
"Account Registration","Account Registration","Verify Validate Username Uniqueness Check","1","0","0","0","0"
"Account Transactions","Account Transactions","Verify Mini Statement Generation","1","0","0","0","0"
"","Payments","Verify Verify Retry Mechanism On Network Error","0","0","1","0","0"
"Account Registration","Account Registration","Verify Check Mobile Number Verification","0","0","1","0","0"
"","Payments","Verify Validate Error On Invalid Card Entry","0","0","1","0","0"
"Weather API","","","0","0","4","0","0"
"Account Transactions","Account Transactions","Verify Overdraft Limit Warnings","0","0","1","0","0"
"SwagLabs access","Core Business Req","Verify Login","0","0","1","0","0"
"","","","0","0","0","1","0"
"","Payments","Verify Validate Error On Expired Card Entry","1","0","0","0","0"
"Account Transactions","Account Transactions","Verify Withdrawal Limit Enforcement","0","0","1","0","0"
"SwagLabs Features","Core Business Req","Verify Menu","0","0","1","0","0"
"Account Registration","Account Registration","Verify Verify Email Confirmation Sent Post Registration","1","0","0","0","0"
"Account Registration","Account Registration","Verify Check Back Button Functionality On Signup","1","0","0","0","0"
"","Payments","Verify Validate CVV Check During Payment","0","0","1","0","0"
"SwagLabs access","Core Business Req","Verify Logout","1","0","0","0","0"
"SwagLabs Features","Core Business Req","Verify Products","0","0","0","1","0"
"Account Registration","Account Registration","Verify Check Registration Date Saved Correctly","0","0","1","0","0"
"","Payments","Verify Validate Saved Card Autofill Functionality","1","0","1","0","0"
"SwagLabs Features","Core Business Req","Verify Product Details","0","0","1","0","0"
"","Payments","Verify Verify Cancel Payment Redirects To Cart","0","0","0","1","0"
"Account Transactions","Account Transactions","Verify Account Balance","0","0","1","0","0"
"","Payments","Verify Successful Payment With Valid Card Details","0","0","1","0","0"
"Account Registration","Account Registration","Verify Social Media Registration Google Facebook","1","0","0","0","0"
"","Payments","Verify Verify Success Message Post Successful Transaction","0","0","1","0","0"
"Account Registration","Account Registration","Verify Registration With Referral Code","0","0","1","0","0"
"","Payments","Verify Check Promo Code Application In Payment","1","0","0","0","0"
"Account Transactions","Account Transactions","Verify Transaction History","0","0","1","0","0"
"Account Transactions","Account Transactions","Verify Money Transfer","1","0","0","0","0"
"SwagLabs access","Core Business Req","Verify Login Page Elements","0","0","0","1","0"
"Account Registration","Account Registration","Verify Check OTP Verification During Registration","1","0","0","0","0"
"","Payments","Verify Validate 3D Secure Authentication","0","0","0","1","0"
"Account Registration","Account Registration","Verify Terms And Conditions Checkbox Validation","1","0","0","0","0"
"","Payments","Verify Verify Email Receipt Sent After Payment","0","0","0","1","0"
"Order Processing","Core Business Req","Verify Order Creation","1","0","0","0","0"
"SwagLabs access","Core Business Req","Verify Invalid Login","0","0","1","0","0"
"Account Registration","Account Registration","Verify Check Redirection To Dashboard Post Signup","0","0","1","0","0"
"Account Registration","Account Registration","Verify Password Strength Validation","0","0","0","1","0"
"Account Registration","Account Registration","Verify Verify Mandatory Fields Are Enforced","0","0","1","0","0"
"SwagLabs access","Core Business Req","Verify Problem User Login","0","0","1","0","0"
"","Payments","Verify Verify Currency Change Updates Payment Amount","1","0","0","0","0"
"","Payments","Verify International Card Payment","0","0","1","0","0"
"Account Transactions","Account Transactions","Verify Failed Transaction Due to Downtime","0","0","1","0","0"
"SwagLabs access","Core Business Req","Verify Page Title","0","0","1","0","0"
"Account Registration","Account Registration","Verify Validate Error For Duplicate Email Registration","0","0","1","0","0"
"Account Registration","Account Registration","Verify Verify Cancel Payment Redirects To Cart","0","1","0","0","0"
"Account Registration","Account Registration","Verify Validate Error For Invalid Email Format","0","0","1","0","0"
"Account Transactions","Account Transactions","Verify IMPS Transfer","0","0","1","0","0"
"SwagLabs Features","Core Business Req","Verify Social Media Links","0","0","1","0","0"
